tstamp,high,low,open,close,volume
1516890600,1770.24,1770.24,1770.24,1770.24,0
1516977000,1770.24,1770.24,1770.24,1770.24,0
1517236200,1893.12,1868.8,1868.8,1893.12,22
1517322600,2035.84,1951.36,1970.5601,1955.2,989
1517409000,1963.52,1917.4399,1917.4399,1961.6,144
1517495400,1929.6,1850.88,1929.6,1862.848,169
1517581800,2131.2,1921.92,1922.5601,2102.3999,456
1517841000,2839.6799,2088.3201,2172.1599,2807.04,817
1517927400,3718.3999,2759.4241,2944,2759.4241,194
1518013800,2885.76,2682.8799,2799.3601,2850.5601,434
1518100200,3531.52,2903.04,2907.52,3531.52,1575
1518186600,3609.6001,3136,3182.0801,3217.9199,695
1518445800,3205.1201,3072,3089.9199,3107.2,228
1518532200,3139.8401,3046.3999,3123.8401,3070.0801,572
1518618600,3029.1201,2708.48,3028.48,2718.72,1395
1518705000,2741.76,2616.6399,2625.9199,2656,211
1518791400,2735.3601,2595.8401,2700.8,2695.6799,291
1519137000,2859.52,2744.96,2764.8,2805.76,686
1519223400,2850.5601,2629.1201,2778.24,2848,2230
1519309800,2848.6399,2739.2,2767.3601,2810.8799,872
1519396200,2743.04,2590.0801,2721.28,2591.3601,869
1519655400,2528.6399,2476.8,2516.48,2513.9199,64
1519741800,2727.6799,2506.9441,2506.9441,2714.24,1086
1519828200,2837.1201,2636.8,2644.48,2826.24,1130
1519914600,3156.48,2804.48,2804.48,3020.8,708
1520001000,3233.28,2887.6799,3179.52,2887.6799,873
1520260200,2942.0801,2754.5601,2942.0801,2781.4399,548
1520346600,2880.6399,2759.6799,2759.6799,2796.1599,328
1520433000,2848,2753.9199,2848,2754.5601,50
1520519400,2726.3999,2725.1201,2725.1201,2725.76,872
1520605800,2580.48,2448,2580.48,2448,231
1520861400,2560,2490.8799,2490.8799,2544.6399,30
1520947800,2605.4399,2565.1201,2565.1201,2605.4399,25
1521034200,2686.0801,2591.3601,2591.3601,2662.3999,375
1521120600,2604.1599,2576.6399,2576.6399,2588.1599,13
1521207000,2515.2,2515.2,2515.2,2515.2,16
1521466200,2891.52,2580.48,2580.48,2775.6799,272
1521552600,2757.1201,2722.5601,2757.1201,2722.5601,30
1521639000,2695.6799,2547.2,2685.4399,2623.3601,239
1521725400,3041.9199,2779.52,2890.24,3020.8,431
1521811800,3201.28,2913.28,3010.5601,3200,489
1522071000,3150.0801,2963.2,3016.96,2963.2,528
1522157400,3238.3999,2963.2,2963.2,3185.9199,528
1522243800,3296,3206.0801,3278.72,3206.0801,820
1522330200,3136,3136,3136,3136,6
